url,title,text,conn_type,depth
https://www.aljazeera.com/news,News | Today's latest from Al Jazeera,"[4,0,2,39] {""namedChunks"":[""section-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,0
https://www.aljazeera.com/news#featured-news-container,News | Today's latest from Al Jazeera,"[4,0,2,39] {""namedChunks"":[""section-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,1
https://www.bbc.com/news,"BBC News - Breaking news, video and the latest top stories from the U.S. and around the world",.hide-when-no-script { visibility: hidden; } Skip to content Advertisement British Broadcasting Corporation Register Sign In Home News Sport Business Innovation Culture Arts Travel Earth Audio Video Live Israel-Gaza War War in Ukraine US & Canada UK Africa Asia Australia Europe Latin America Middle East In Pictures BBC InDepth BBC Verify Home News Israel-Gaza War War in Ukraine US & Canada UK UK Politics England N. Ireland N. Ireland Politics Scotland Scotland Politics Wales Wales Politics Afric,Direct,0
https://privacy.aljazeera.net/cookie/,Cookie Policy – Al Jazeera Privacy,Skip to content Facebook Twitter Email Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public Liberties & Human Rights Al Jazeera Forum Our Channels Al Jazeera English Al Jazeera Arabic Al Jazeera Balkans Al Jazeera Mubasher Al Jazeera Documentary AJ+ AJ+ Arabi AJ+ Español AJ+ French Careers How to Watch Submit Privacy Request Data Access Request Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public ,Direct,1
https://www.aljazeera.com/news#news-feed-container,News | Today's latest from Al Jazeera,"[4,0,2,39] {""namedChunks"":[""section-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,1
https://www.bbc.co.uk/editorialguidelines/guidance/links-and-feeds/,No Title,,Direct,1
https://privacy.aljazeera.net/cookie/,Cookie Policy – Al Jazeera Privacy,Skip to content Facebook Twitter Email Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public Liberties & Human Rights Al Jazeera Forum Our Channels Al Jazeera English Al Jazeera Arabic Al Jazeera Balkans Al Jazeera Mubasher Al Jazeera Documentary AJ+ AJ+ Arabi AJ+ Español AJ+ French Careers How to Watch Submit Privacy Request Data Access Request Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public ,Direct,2
https://www.aljazeera.com/,"Breaking News, World News and Video from Al Jazeera","[3,0,2,19,20] {""namedChunks"":[""homepage-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed Skip to Most Read Al Jazeera , link to home page play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climat",Direct,1
https://www.bbc.com/pages/content-index,BBC.com Content Index,.hide-when-no-script { visibility: hidden; } Skip to content Advertisement British Broadcasting Corporation Register Sign In Home News Sport Business Innovation Culture Arts Travel Earth Audio Video Live Home News Israel-Gaza War War in Ukraine US & Canada UK UK Politics England N. Ireland N. Ireland Politics Scotland Scotland Politics Wales Wales Politics Africa Asia China India Australia Europe Latin America Middle East In Pictures BBC InDepth BBC Verify Sport Business Executive Lounge Technol,Direct,1
https://network.aljazeera.net/en,Al Jazeera Media Network | A truly global network,Skip to main content English العربية Search Al Jazeera Media Network A truly global network Toggle navigation play Live Main navigation Who We Are Our Story Vision Mission Values Our Journey Virtual Tour Code of Ethics Editorial Standards Code of Conduct Leadership Our Network Faces Arabic English Mubasher Awards Press Releases More Publications Videos FAQ Press Kit Our Martyrs play Live Sheikh Nasser Bin Faisal Al-Thani appointed Director General of Al Jazeera Media Network Doha – 1 September 2,Direct,2
